Item #,Seller Category,Item Description,Qty,Unit Retail,Ext. Retail,Brand,UPC,TCIN,Origin,Category,Condition,Product Class,Category Code,Division,Department,Optoro Condition,Pallet ID,Subcategory,Lot ID
LPTG4908949,BICYCLES-PHYSICAL FITNESS,"Hyper 20"" Full Suspension Bear Mountain Bike - Black/Blue: 7-Speed, Steel Frame",1,139.99,139.99,Hyper Bicycles; Hyper,690995300447,92451120,China,OUTDOOR_SPORTS,NEW,BICYCLES PHYSICAL FITNESS,82,SPORT,SPORTING GOODS,N,PTAZ71378,MOUNTAIN,urc_bicycles_physical_fitness_20260327_202_p
LPTG4796448,BICYCLES-PHYSICAL FITNESS,"Schwinn Legacy Women's 26"" Cruiser Bike - Purple",1,188.99,188.99,Schwinn,038675066281,86817298,China,OUTDOOR_SPORTS,NEW,BICYCLES PHYSICAL FITNESS,82,SPORT,SPORTING GOODS,N,PTBI49873,CRUISER,urc_bicycles_physical_fitness_20260327_202_p
LPTG4906701,BICYCLES-PHYSICAL FITNESS,"Huffy Highland Mountain Bike - 24"" Wheels - 21 Speeds - Silver",1,92.64,92.64,Huffy,028914343334,86854276,China,OUTDOOR_SPORTS,NEW,BICYCLES PHYSICAL FITNESS,82,SPORT,SPORTING GOODS,N,PTBQ10609,MOUNTAIN,urc_bicycles_physical_fitness_20260327_202_p
LPTG4902181,BICYCLES-PHYSICAL FITNESS,"Huffy Highland Mountain Bike - 24"" Wheels - 21 Speeds - Silver",2,92.64,185.28,Huffy,028914343334,86854276,China,OUTDOOR_SPORTS,NEW,BICYCLES PHYSICAL FITNESS,82,SPORT,SPORTING GOODS,N,PTBI49873,MOUNTAIN,urc_bicycles_physical_fitness_20260327_202_p
LPTG4073150,SEASONAL,Playtopia Tent to Canoe and Gym Folding Mat 3 in 1 Play Tent,1,169.99,169.99,Playtopia,703086935838,94465865,Viet Nam,OUTDOOR_SPORTS,NEW,BICYCLES PHYSICAL FITNESS,91,SPORT,TOYS,N,PTBI43343,ACTIVE PLAY,urc_bicycles_physical_fitness_20260327_202_p
LPTG4073152,BICYCLES-PHYSICAL FITNESS,"Schwinn Iris 20"" Youth Bike - Light Blue",1,144.49,144.49,Schwinn,038675291003,92401145,China,OUTDOOR_SPORTS,NEW,BICYCLES PHYSICAL FITNESS,82,SPORT,SPORTING GOODS,N,PTBI43343,YOUTH,urc_bicycles_physical_fitness_20260327_202_p
LPTG4013189,BICYCLES-PHYSICAL FITNESS,"Schwinn Piston 20"" Youth Bike - Silver",1,144.49,144.49,Schwinn,038675290990,92401143,China,OUTDOOR_SPORTS,NEW,BICYCLES PHYSICAL FITNESS,82,SPORT,SPORTING GOODS,N,PTBQ02619,YOUTH,urc_bicycles_physical_fitness_20260327_202_p
LPTG3985003,BICYCLES-PHYSICAL FITNESS,"Hyper 20"" Full Suspension Bear Mountain Bike - Black/Blue: 7-Speed, Steel Frame",1,139.99,139.99,Hyper Bicycles; Hyper,690995300447,92451120,China,OUTDOOR_SPORTS,NEW,BICYCLES PHYSICAL FITNESS,82,SPORT,SPORTING GOODS,N,PTBQ00001,MOUNTAIN,urc_bicycles_physical_fitness_20260327_202_p
LPTG3955432,BICYCLES-PHYSICAL FITNESS,Pacific 20'' Kids' Bike - Soarin Purple,1,106.24,106.24,Pacific,038675138179,86817297,China,OUTDOOR_SPORTS,NEW,BICYCLES PHYSICAL FITNESS,82,SPORT,SPORTING GOODS,N,PTBQ00001,YOUTH,urc_bicycles_physical_fitness_20260327_202_p
LPTG3818000,BICYCLES-PHYSICAL FITNESS,"Huffy Highland Mountain Bike - 26"" Wheels - 21 Speeds - M/L - Black",1,92.64,92.64,Huffy,028914363332,86854277,China,OUTDOOR_SPORTS,NEW,BICYCLES PHYSICAL FITNESS,82,SPORT,SPORTING GOODS,N,PTBQ00002,MOUNTAIN,urc_bicycles_physical_fitness_20260327_202_p
LPTG4073151,BICYCLES-PHYSICAL FITNESS,"Huffy Highland Mountain Bike - 24"" Wheels - 21 Speeds - Silver",1,92.64,92.64,Huffy,028914343334,86854276,China,OUTDOOR_SPORTS,NEW,BICYCLES PHYSICAL FITNESS,82,SPORT,SPORTING GOODS,N,PTBI43343,MOUNTAIN,urc_bicycles_physical_fitness_20260327_202_p
LPTG4908953,BICYCLES-PHYSICAL FITNESS,"Pacific 20"" Kids' Bike - Erupt Green",1,87.49,87.49,Pacific,038675138162,86817293,China,OUTDOOR_SPORTS,NEW,BICYCLES PHYSICAL FITNESS,82,SPORT,SPORTING GOODS,N,PTAZ71378,YOUTH,urc_bicycles_physical_fitness_20260327_202_p
LPTG3958756,BICYCLES-PHYSICAL FITNESS,"Huffy Highland Mountain Bike - 24"" Wheels - 21 Speeds - Silver",1,92.64,92.64,Huffy,028914343334,86854276,China,OUTDOOR_SPORTS,NEW,BICYCLES PHYSICAL FITNESS,82,SPORT,SPORTING GOODS,N,PTBJ15700,MOUNTAIN,urc_bicycles_physical_fitness_20260327_202_p
LPTG3955430,BICYCLES-PHYSICAL FITNESS,"Huffy Highland Mountain Bike - 26"" Wheels - 21 Speeds - M/L - Black",1,92.64,92.64,Huffy,028914363332,86854277,China,OUTDOOR_SPORTS,NEW,BICYCLES PHYSICAL FITNESS,82,SPORT,SPORTING GOODS,N,PTBQ00001,MOUNTAIN,urc_bicycles_physical_fitness_20260327_202_p
